country,year,nbi
Belgium,2022,64.06
Portugal,2022, 
Greece,2022,62.9
Iceland,2022,62.7
Wales,2022,61.94
South Korea,2022,61.09
Northern Ireland,2022,60.89
Singapore,2022,60.88
Brazil,2022,59.29
Poland,2022,59.71
Argentina,2022,58.48
Czech Republic,2022,58.59
China,2022,57.36
Taiwan,2022,57.56
Hungary,2022,57.43
Mexico,2022,57.51
Slovakia,,56.49
Egypt,,56.7
Turkey,,56.64
India,,55.76
Peru,2022,55.85
Morocco,2022,55.1
Chile,2022,55.7
South Africa,2022,55.19
Romania,2022, 
Indonesia,2022,54.59
United Arab Emirates,2022,54.12
Israel,2022,54.91
Vietnam,2022,53.45
Philippines,2022, 
Dominican Republic,2022,53.64
Qatar,2022,53.23
Ecuador,2022,53.25
Panama,2022,53.67
Colombia,2022,52.88
Saudi Arabia,2022,51.11
Jordan,2022, 
Kenya,2022,51.8
Ukraine,2022,53.89
Tanzania,2022,51.2
Russia,2022,50.5
Botswana,2022,50.19
Japan,2023,69.85
Germany,2023,69.43
Canada,2023,68.91
United Kingdom,2023,68.8
Italy,2023,68.69
United States,2023,68.43
Switzerland,2023,68.24
France,2023,67.95
Australia,2023,67.8
Sweden,2023,67.75
Spain,2023,66.81
Norway,2023,66.55
Netherlands,2023,66.34
New Zealand,2023,65.96
Finland,2023,65.36
Scotland,2023,65.28
Austria,2023,65.08
Ireland,2023,64.66
Belgium,2023,64.12
Portugal,2023,64.08
Greece,2023,63.59
Iceland,2023,63.46
Wales,2023,62.43
South Korea,2023,62.17
Northern Ireland,2023,61.62
Singapore,2023,61.52
Brazil,2023,60.64
Poland,2023,60.32
Argentina,2023,59.74
Czech Republic,2023,59.32
China,2023,59.14
Taiwan,2023,58.92
Hungary,2023,58.75
Mexico,2023,58.61
Slovakia,2023,57.97
Egypt,2023,57.91
Turkey,2023,57.85
India,2023,57.79
Peru,2023,57.15
Morocco,2023,56.95
Chile,2023,56.83
South Africa,2023,56.6
Romania,2023,56.57
Indonesia,2023,56.26
United Arab Emirates,2023,56.24
Israel,2023,55.91
Vietnam,2023,55.65
Philippines,2023,55.64
Dominican Republic,2023,55.52
Qatar,2023,55.24
Ecuador,2023,55.21
Panama,2023,55.11
Colombia,2023,54.81
Saudi Arabia,2023,54.42
Jordan,2023,54.33
Kenya,2023,53.86
Ukraine,2023,53.82
Tanzania,2023,53.03
Russia,2023,53.02
Botswana,2023,52.3
